Id,lemm_text,word_pos
1450,americanair thank response  know fault  im ord hungry want stop ✈️✌ ️,PROPN VERB NOUN PUNCT VERB NOUN PUNCT AUX ADV ADJ VERB VERB ADV PUNCT
7983,usairway inm enjoy flight far  great job  today s tough  thank make flight comfortable ,NOUN AUX VERB NOUN ADV PUNCT ADJ NOUN PUNCT NOUN AUX ADJ PUNCT VERB VERB NOUN ADJ PUNCT
6479,hey united upgraded hour international flight  forgive  thank you ,INTJ ADJ VERB NOUN ADJ NOUN PUNCT VERB SYM VERB PRON PUNCT
2478,united  where trick make we look popular twitter bad airline   wellplay  jokesonus,VERB PUNCT ADV NOUN VERB PRON VERB ADJ PROPN ADJ NOUN PUNCT SYM VERB SYM X
6366,united deliver  thank make sure arrive doorstep ,VERB VERB PUNCT VERB VERB ADJ VERB NOUN PUNCT
1514,americanair hour get back back sit plane hour flight cancel flightle one small drink,NOUN NOUN VERB NOUN ADV ADJ NOUN NOUN NOUN VERB VERB NUM ADJ NOUN
7352,jetblue happy anniversary  hard believe  young ,PROPN ADJ NOUN PUNCT ADV VERB PUNCT ADJ PUNCT
1451,united thank mr get rebooked already lose first class seat  life ,VERB VERB PROPN VERB VERB ADV VERB ADJ NOUN NOUN PUNCT NOUN PUNCT
2020,usairway still wait  brokenpromise notnice  neveragain tellyourstory,NOUN ADV VERB SYM NOUN X SYM X X
7195,southwestair add  passbook support io application  finally  get add collection  httptcolednocdqee,NOUN VERB SYM NOUN NOUN NOUN NOUN PUNCT ADV PUNCT VERB VERB NOUN PUNCT X
7468, jetblue  littlebird beautiful shot  thank share  use  flyfi post     welcome  flight  quickie  ,PUNCT NOUN PUNCT X ADJ NOUN PUNCT VERB VERB PUNCT VERB SYM PROPN NOUN PUNCT PUNCT PUNCT PUNCT INTJ PUNCT NOUN PUNCT ADJ PUNCT PUNCT
838,united roc flight cancel flightle  love snowy drive home useful substitute,VERB NOUN NOUN VERB ADJ PUNCT VERB ADJ NOUN ADV ADJ NOUN
